7zip 24.09-3
perl-json-xs 4.03-6
perl-mailtools 2.22-1
perl-timedate 2.33-7
perl-types-serialiser 1.01-4
pinentry 1.3.1-5
pinta 3.0.1-1
pipewire 1:1.4.5-1
pipewire-alsa 1:1.4.5-1
pipewire-audio 1:1.4.5-1
pipewire-jack 1:1.4.5-1
pipewire-pulse 1:1.4.5-1
pipewire-session-manager 1:1.4.5-1
pixman 0.46.2-1
pkcs11-helper 1.30.0-2
pkgconf 2.5.0-1
playerctl 2.4.1-4
polkit 126-2
polkit-gnome 0.105-11
poppler 25.06.0-1
poppler-glib 25.06.0-1
popt 1.19-2
portaudio 1:19.7.0-3
power-profiles-daemon 0.30-1
powertop 2.15-2
pps-tools 1.0.3-2
procps-ng 4.0.5-3
proton-vpn-gtk-app 4.9.7-1
psmisc 23.7-1
pugixml 1.15-2
python 3.13.5-1
python-aiohappyeyeballs 2.6.1-1
python-aiohttp 3.12.13-1
python-aiosignal 1.3.2-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-automat 22.10.0-7
python-bcrypt 4.3.0-1
python-black 25.1.0-1
python-build 1.2.2-3
python-cairo 1.28.0-1
python-certifi 2025.06.15-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.2-1
python-click 8.1.8-1
python-colorama 0.4.6-5
python-constantly 23.10.4-2
python-contourpy 1.3.2-1
python-cryptography 45.0.4-1
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-debugpy 1.8.14-1
python-distro 1.9.0-3
python-docutils 1:0.21.2-3
python-filelock 3.18.0-1
python-fonttools 4.58.4-1
python-frozenlist 1.7.0-1
python-geoip 1.3.2-17
python-gnupg 0.5.4-2
python-gobject 3.52.3-3
python-greenlet 3.2.1-1
python-hyperlink 21.0.0-7
python-id 1.5.0-1
python-idna 3.10-2
python-ifaddr 0.2.0-6
python-imageio 2.37.0-3
python-imageio-ffmpeg 0.6.0-2
python-importlib-metadata 8.7.0-1
python-incremental 22.10.0-7
python-iniconfig 2.1.0-1
python-isort 6.0.1-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-jinja 1:3.1.6-1
python-joblib 1.4.2-2
python-keyring 25.6.0-1
python-kiwisolver 1.4.6-1
python-mako 1.3.10-1
python-markdown 3.8.2-1
python-markdown-it-py 3.0.0-4
python-markupsafe 3.0.2-1
python-matplotlib 3.10.3-1
python-mdurl 0.1.2-8
python-more-itertools 10.7.0-1
python-msgpack 1.0.5-3
python-multidict 6.5.0-1
python-mypy_extensions 1.0.0-5
python-nh3 0.2.19-2
python-numpy 2.3.1-1
python-packaging 25.0-1
python-pandas 2.2.3-1
python-pathspec 0.12.1-3
python-pillow 11.2.1-1
python-pip 25.1.1-1
python-platformdirs 4.3.6-2
python-pluggy 1.6.0-1
python-pooch 1.8.2-4
python-propcache 0.3.2-1
python-proton-core 0.4.0-4
python-proton-keyring-linux 0.2.0-4
python-proton-vpn-api-core 0.42.5-1
python-proton-vpn-local-agent 1.4.5-1
python-proton-vpn-network-manager 0.12.13-1
python-pyasn1 0.6.0-2
python-pyasn1-modules 0.4.0-2
python-pycparser 2.22-3
python-pygments 2.19.1-1
python-pynacl 1.5.0-3
python-pynvim 0.5.2-1
python-pyopenssl 25.1.0-1
python-pyparsing 3.2.3-1
python-pyproject-hooks 1.2.0-3
python-pytest 1:8.4.1-1
python-pytz 2025.2-1
python-pyxdg 0.28-4
python-readme-renderer 44.0-1
python-rencode 1.0.8-2
python-requests 2.32.4-1
python-requests-toolbelt 1.0.0-3
python-rfc3986 2.0.0-4
python-rich 14.0.0-1
python-scikit-learn 1.7.0-1
python-scipy 1.16.0-1
python-screeninfo 0.8.1-2
python-seaborn 0.13.2-2
python-secretstorage 3.3.3-6
python-sentry_sdk 2.30.0-1
